question,document
"Quick homemade applesauce recipe with apples and cinnamon, about 25 minutes?",2
I have a few apples and want something simple and fairly light — any easy applesauce recipe?,2
"Easy apple dessert I can make in about an hour with oats, brown sugar, and apples?",5
"Looking for a vegetarian apple crisp recipe that's sweet and comforting, maybe with cinnamon and a crumbly oat topping",5
"Quick 20-minute dessert with apples, butter, sugar, and cinnamon",9
"Easy recipe for Granny Smith apples and cinnamon, something sweet I can make fast",9
Quick dessert I can make in about an hour with apples and puff pastry?,10
"I have Granny Smith apples, brown sugar, and frozen puff pastry — what easy sweet snack can I make that's vegetarian?",10
"Easy apple crisp recipe with apples and butter, about an hour",11
"What can I make with apples, flour, sugar, and cinnamon for a simple dessert?",11
Quick warm apple dessert in about 20 minutes with tart apples and cinnamon,14
Easy vegetarian recipe using apples and brown sugar for a simple sweet side or dessert,14
"How do I make canned apple pie filling at home? I have a bunch of apples and some cinnamon, and I want a simple canning recipe.",16
"Looking for a homemade apple pie filling recipe that takes about an hour — I’ve got apples, sugar, and cornstarch on hand.",16
Easy apple pie recipe with store-bought pie crust and apples,17
Need a simple apple pie I can make in about an hour,17
Quick dessert idea in about 25 minutes with apples and caramels—what can I make?,19
"I have apples, milk, and caramel candies on hand. Any easy sweet snack I can make fast?",19
"Quick apple cake recipe that takes about an hour and uses basic pantry ingredients like apples, cinnamon, flour, and eggs",20
Easy German apple cake for a crowd — I have apples and want a simple homemade dessert with cinnamon,20
"I’ve got apples, flour, milk, and eggs — what’s a quick muffin recipe I can make in under an hour?",24
Looking for an easy vegetarian apple cinnamon bake with ingredients I probably already have at home.,24
Quick 35-minute dessert with apples and cinnamon — what can I make?,26
"I have apples, flour, eggs, and milk; any easy fried snack recipe?",26
I need a quick dessert in about 30 minutes with apple pie filling — what can I make?,27
What’s an easy vegetarian apple crisp recipe using canned pie filling and pantry staples?,27
"I’ve got apples, flour, eggs, and butter — what’s a quick apple muffin recipe I can make in about 45 minutes?",28
Looking for a sweet breakfast bake with apples that’s easy and vegetarian; any muffin recipe ideas?,28
"Easy baked apple dessert with cinnamon and brown sugar — I have apples and want something warm, cozy, and vegetarian, about an hour max",29
"Looking for a lighter dessert using apples, cinnamon, and a little butter or sugar; preferably something simple and lower calorie",29
Quick 20-minute salad recipe with apples and walnuts — what can I make?,30
"Need an easy vegetarian side with celery, apples, and mayo, something light and sweet",30
I have a few apples and some cinnamon — what’s a quick homemade applesauce recipe I can make in about 25 minutes?,33
Looking for a simple vegetarian snack with apples that’s lightly sweet and easy to make fast.,33
"Quick dessert with apples and oats — I’ve got apples, cinnamon, butter, and flour, and about an hour. What can I make?",36
